root@Week1:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet)
17:57:40.373665 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:40.874936 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:40.875007 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:41.374761 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:41.883091 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:41.883143 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:42.384033 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:42.885247 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:42.885302 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:43.392660 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:43.894078 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:43.894129 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:44.398103 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:44.904423 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:44.904480 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:45.416349 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:45.914139 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:45.914192 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:46.417748 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:46.921977 ARP, Request who-has 167.99.176.1 tell 167.99.185.101, length 28
17:57:46.922817 ARP, Reply 167.99.176.1 is-at fe:00:00:00:01:01 (oui Unknown), length 46
17:57:46.926767 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:46.926811 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:47.431487 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:47.926232 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:47.926311 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:48.437293 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:48.938294 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:48.938351 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:49.441727 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:49.948911 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:49.948962 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:50.486324 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:50.977360 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:50.977415 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:51.480820 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:51.991081 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:51.991133 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:52.498991 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:53.015123 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:53.015177 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:53.514297 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:54.012543 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:54.012596 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:54.526186 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:55.022515 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:55.022563 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
